Lib_num,Sum,Ratio
76,38.18922352184203,0.1373622187187242
51,37.678483069923395,0.13552514440311728
32,98.5166103322591,0.35435284951911405
40,76.18817953412133,0.27404006721848667
81,27.28594079855482,0.09814437221467923
69,96.8995612687972,0.34853651112178785
50,15.90962724127966,0.05722508852792247
87,50.62107446563135,0.1820781482647303
56,153.28277141872334,0.551340394794581
74,21.448950042035804,0.07714939177215822
58,30.330575307929998,0.10909557029693853
30,59.83165065727385,0.21520752521156078
72,141.5674196722234,0.5092016299660916
66,49.41710878738192,0.17774762301247035
88,77.85245233901954,0.28002626395022434
78,109.40900938033408,0.39353154870260376
